source	sourceTitle	target	targetTitle
Bijan Pesaran	orig	Lawrence Cohen	-
Bijan Pesaran	orig	Michale S Fee	-
Aysegul (Ayse) Gunduz	-	Bijan Pesaran	orig
Amy L. Orsborn	-	Bijan Pesaran	orig
Orrin Devinsky	-	Thomas Thesen	orig
Charles Hoeffer	-	Einar M. Sigurdsson	orig
David Holtzman	-	Einar M. Sigurdsson	orig
Benjamin Little	-	Einar M. Sigurdsson	orig
James L. Salzer	orig	Moses Chao	orig
James L. Salzer	orig	Jeffrey A. Loeb, MD, PhD	-
James L. Salzer	orig	Lorna Role	-
George Zanazzi	-	James L. Salzer	orig
Hugo Bellen	-	James L. Salzer	orig
Filippo Giancotti	-	James L. Salzer	orig
Angelo Quattrini	-	James L. Salzer	orig
Marlene Behrmann	-	Uri Hasson	edu
Allan D. Jepson	-	David J Heeger	orig
Alex Huk (Alexander C Huk, AC Huk)	-	David J Heeger	orig
David J Fleet	-	David J Heeger	orig
Hossein Esteky	-	Roozbeh Kiani	orig
Peter A. Bandettini	-	Roozbeh Kiani	orig
Marieke Mur	-	Roozbeh Kiani	orig
Marieke Mur	-	Nikolaus Kriegeskorte	edu
Nikolaus Kriegeskorte	edu	Roozbeh Kiani	orig
Nikolaus Kriegeskorte	edu	Peter A. Bandettini	-
Jerzy Bodurka	-	Roozbeh Kiani	orig
Jerzy Bodurka	-	Nikolaus Kriegeskorte	edu
Arash Afraz	-	Roozbeh Kiani	orig
Ariel Zylberberg	-	Roozbeh Kiani	orig
Davood Shahrjerdi	-	Roozbeh Kiani	orig
Braden Purcell	-	Roozbeh Kiani	orig
Eric J Lang	orig	Rodolfo R. Llinas	-
Eric J Lang	orig	Nadia Cerminara	-
Eric J Lang	orig	Timothy A Blenkinsop	-
Eric J Lang	orig	Mitsuo Kawato	-
Eric J Lang	orig	Nicolas Schweighofer	-
Eric J Lang	orig	Robert Findling	-
Eric J Lang	orig	Katsuhiko Mikoshiba	-
Alain Destexhe	-	Eric J Lang	orig
Chris I. De Zeeuw	-	Eric J Lang	orig
Cynthia Wible	-	Eric J Lang	orig
Barry W. Connors	-	Michael A Long	orig
Adam Carter	orig	wade regehr	-
Adam Carter	orig	BERNARDO SABATINI	-
Adam Carter	orig	Andrew F MacAskill	-
Adam Carter	orig	Justin Little	-
Adam Carter	orig	Paul Anastasiades	-
Adam Carter	orig	Rudy Behnia	-
Adam Carter	orig	Eric Klann	orig
Adam Carter	orig	Claude Desplan	orig
Adam Carter	orig	Thomas R Clandinin	-
Adam Carter	orig	Kaspar Vogt	-
Adam Carter	orig	David P Collins	-
Adam Carter	orig	Gilberto J Soler-Llavina	-
Adam Carter	orig	Corey Baimel	-
Adam Carter	orig	Xingchen Liu	-
Adam Carter	orig	Samantha Scudder	-
Adam Carter	orig	Nicolas Tritsch	orig
Adam Carter	orig	Jordane Dimidschstein	-
Adam Carter	orig	Gordon Fishell	-
David Schoppik	orig	Owen Randlett	-
David Schoppik	orig	Yuchin Albert Pan	-
David Schoppik	orig	Ruben Portugues	-
David Schoppik	orig	Jennifer M. Li	-
David Schoppik	orig	Harald Janovjak	-
David Schoppik	orig	benjamin gaub	-
David Schoppik	orig	James E. Fitzgerald	-
David Schoppik	orig	Eva Aimable Naumann	-
David Schoppik	orig	Stephen G Lisberger	-
David Schoppik	orig	Isaac Bianco	-
David Schoppik	orig	Edward Soucy	-
David Schoppik	orig	Dirk Trauner	orig
David Schoppik	orig	Joshua Levitz	-
David Schoppik	orig	James A Gagnon	-
Alexander F Schier	-	David Schoppik	orig
Adam Hoagland	-	David Schoppik	orig
